chan_id,spacecraft,anomaly_sequences,class,num_values
"P-1,Аппарат1,""[[1899, 2099], [4286, 4594], [3289, 3529]]"",""[contextual, contextual, contextual]"",8505"
"D-8,Аппарат1,""[[4120, 4170]]"",[point],7874"
"D-9,Аппарат1,""[[6000, 8127]]"",[point],7406"
"F-2,Аппарат1,""[[5419, 8638]]"",[point],8626"
"G-4,Аппарат1,""[[4440, 4470]]"",[point],7632"
"T-3,Аппарат1,""[[1848,1930],[4950,5050]]"",""[point, point]"",8579"
"D-11,Аппарат1,""[[4020, 4080]]"",[point],7431"
"D-12,Аппарат1,""[[4928, 8467]]"",[point],7918"
"B-1,Аппарат1,""[[4810, 4880]]"",[point],8044"
"G-6,Аппарат1,""[[5350, 5450]]"",[point],8640"
"G-7,Аппарат1,""[[3400, 3500], [4800,4850], [7310, 7425]]"",""[contextual, point, contextual]"",8029"
"P-7,Аппарат1,""[[4700, 6350]]"",[contextual],8071"
"R-1,Аппарат1,""[[4260, 4340]]"",[point],7244"
"A-5,Аппарат1,""[[2500, 2550]]"",[point],4693"
"A-6,Аппарат1,""[[1640, 1680]]"",[point],4453"
"A-7,Аппарат1,""[[5950, 8350]]"",[contextual],8631"
"D-13,Аппарат1,""[[4820, 4980]]"",[point],7663"
"P-2,Аппарат1,""[[5050, 6170]]"",[point],8209"
"A-8,Аппарат1,""[[4319, 8638]]"",[contextual],8375"
"A-9,Аппарат1,""[[4319, 8638]]"",[contextual],8434"
"F-3,Аппарат1,""[[5350, 5390]]"",[contextual],8376"
"M-6,Аппарат2,""[[1600, 1780]]"",[point],2049"
"M-1,Аппарат2,""[[860, 2000]]"",[contextual],2277"
"M-2,Аппарат2,""[[860, 2000]]"",[contextual],2277"
"S-2,Аппарат2,""[[650, 660]]"",[point],1827"
"P-10,Аппарат2,""[[4340, 4470]]"",[point],6100"
"T-4,Аппарат2,""[[922, 990]]"",[point],2217"
"T-5,Аппарат2,""[[950, 975]]"",[point],2218"
"F-7,Аппарат2,""[[1000, 1200], [2420, 2540], [3075, 3175]]"",""[contextual, contextual, contextual]"",5054"
"M-3,Аппарат2,""[[1000, 1250]]"",[contextual],2127"
"M-4,Аппарат2,""[[1000, 1250]]"",[contextual],2038"
"M-5,Аппарат2,""[[1000, 1300]]"",[contextual],2303"
"P-15,Аппарат2,""[[1140, 1160]]"",[point],2856"
"C-1,Аппарат2,""[[300, 500], [1850, 1960]]"",""[point, contextual]"",2264"
"C-2,Аппарат2,""[[40, 140], [1290, 1325]]"",""[point, contextual]"",2051"
"T-12,Аппарат2,""[[380, 500]]"",[contextual],2430"
"T-13,Аппарат2,""[[440, 540], [1650, 1800]]"",""[contextual, contextual]"",2430"
"F-4,Аппарат2,""[[2450, 2520]]"",[point],3422"
"F-5,Аппарат2,""[[3300,3450]]"",[point],3922"
"D-14,Аппарат2,""[[1380, 1400],[1550,1750]]"",""[point, point]"",2625"
"T-9,Аппарат2,""[[530, 560], [640, 720]]"",""[point, point]"",1096"
"P-14,Аппарат2,""[[4325, 4505]]"",[point],6100"
"T-8,Аппарат2,""[[620,680],[1080,1120]]"",""[contextual, contextual]"",1519"
"P-11,Аппарат2,""[[1528, 1648], [988, 1094]]"",""[point, point]"",3535"
"D-15,Аппарат2,""[[1250, 1890]]"",[point],2158"
"D-16,Аппарат2,""[[350, 1000]]"",[contextual],2191"
"M-7,Аппарат2,""[[690, 790]]"",[point],2156"
"F-8,Аппарат2,""[[1700, 2375]]"",[contextual],2487"
